report;sys_time;sim_state;service_state;nr_state;net_op_name;net_op_code;roaming;net_type;call_state;data_state;data_act;data_rx;data_tx;gsm_neighbors;umts_neighbors;lte_neighbors;nr_neighbors;cdma_neighbors;rssi_strongest;nstrong;tech;mcc;mnc;mnc_master;lac_tac_sid;long_cid;node_id_nid;cid_bid;psc_pci;nrtac;nrnci;nrpci;nrarfcn;rssi;rsrq;rssi_ev;ecio_ev;rssnr;nrssrsrp;nrssrsrq;nrsssinr;nrcsirsrp;nrcsirsrq;nrcsisinr;slev;ta;gps;accuracy;lat;long;altitude;speed;bearing;band;arfcn;bw;bwlist;thp_rx;thp_tx
0;20240202134223;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;6;0;0;-99;0;LTE;230;3;3;31014;433165;1692;13;112;2147483647;9223372036854775807;2147483647;2147483647;-95;-11;2147483647;2147483647;-1;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;4;49.79046764;18.4407465;313.222;0;0;800;6400;2147483647;;0;0
1;20240202134226;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;6;0;0;-95;0;LTE;230;3;3;31014;433165;1692;13;112;2147483647;9223372036854775807;2147483647;2147483647;-93;-11;2147483647;2147483647;-1;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.79049066;18.44075165;308.422;0;0;800;6400;2147483647;;0;0
2;20240202134231;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;5;0;0;-97;0;LTE;230;3;3;31014;433165;1692;13;112;2147483647;9223372036854775807;2147483647;2147483647;-93;-11;2147483647;2147483647;-1;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.79051293;18.44073259;313.624;0;0;800;6400;2147483647;;0;0
3;20240202134236;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;5;0;0;-97;0;LTE;230;3;3;31014;433165;1692;13;112;2147483647;9223372036854775807;2147483647;2147483647;-90;-9;2147483647;2147483647;1;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.79052476;18.44072483;316.672;0.51;135.4;800;6400;2147483647;;0;0
4;20240202134241;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;6;0;0;-97;0;LTE;230;3;3;31014;433165;1692;13;112;2147483647;9223372036854775807;2147483647;2147483647;-94;-11;2147483647;2147483647;1;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.79050821;18.44078544;318.565;0.73;78.8;800;6400;2147483647;;0;0
5;20240202134246;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;6;0;0;-98;0;LTE;230;3;3;31014;433165;1692;13;112;2147483647;9223372036854775807;2147483647;2147483647;-92;-12;2147483647;2147483647;-4;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.79047794;18.44074804;318.372;2.46;186.1;800;6400;2147483647;;0;0
6;20240202134251;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;7;0;0;-90;0;LTE;230;3;3;31014;433165;1692;13;112;2147483647;9223372036854775807;2147483647;2147483647;-91;-10;2147483647;2147483647;-4;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.7904055;18.44088665;319.719;4.07;61.3;800;6400;2147483647;;0;0
7;20240202134256;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;6;0;0;-98;0;LTE;230;3;3;31014;433165;1692;13;112;2147483647;9223372036854775807;2147483647;2147483647;-95;-11;2147483647;2147483647;-4;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.79056794;18.44114697;319.779;5.78;43;800;6400;2147483647;;0;0
8;20240202134300;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;6;0;0;-98;0;LTE;230;3;3;31014;433165;1692;13;112;2147483647;9223372036854775807;2147483647;2147483647;-95;-11;2147483647;2147483647;-4;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.79070322;18.44133289;319.808;4.57;47.6;800;6400;2147483647;;0;0
9;20240202134301;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;6;0;0;-91;0;LTE;230;3;3;31014;433165;1692;13;112;2147483647;9223372036854775807;2147483647;2147483647;-89;-10;2147483647;2147483647;-4;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.79073712;18.44137771;320.471;4.79;46.3;800;6400;2147483647;;0;0
10;20240202134306;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;6;0;0;-89;0;LTE;230;3;3;31014;433165;1692;13;112;2147483647;9223372036854775807;2147483647;2147483647;-86;-10;2147483647;2147483647;3;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.79085932;18.44153943;321.403;3.47;24.8;800;6400;2147483647;;0;0
11;20240202134311;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;7;0;0;-91;0;LTE;230;3;3;31014;433165;1692;13;112;2147483647;9223372036854775807;2147483647;2147483647;-92;-12;2147483647;2147483647;-2;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.79108667;18.4412164;320.64;7.56;316.1;800;6400;2147483647;;0;0
12;20240202134316;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;8;0;0;-94;0;LTE;230;3;3;31014;433165;1692;13;112;2147483647;9223372036854775807;2147483647;2147483647;-91;-10;2147483647;2147483647;-3;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.79131683;18.44079633;320.353;8.11;313.6;800;6400;2147483647;;0;0
13;20240202134321;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;7;0;0;-94;0;LTE;230;3;3;31014;433165;1692;13;112;2147483647;9223372036854775807;2147483647;2147483647;-91;-12;2147483647;2147483647;-1;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.79157429;18.44036003;318.77;8.68;313.3;800;6400;2147483647;;0;0
14;20240202134326;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;7;0;0;-95;0;LTE;230;3;3;31014;433165;1692;13;112;2147483647;9223372036854775807;2147483647;2147483647;-89;-12;2147483647;2147483647;-1;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.79181782;18.43992441;319.295;7.69;315.2;800;6400;2147483647;;0;0
15;20240202134331;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;8;0;0;-91;0;LTE;230;3;3;31014;433165;1692;13;112;2147483647;9223372036854775807;2147483647;2147483647;-88;-11;2147483647;2147483647;-1;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.79205707;18.43996868;318.894;6.67;40.3;800;6400;2147483647;;0;0
16;20240202134336;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;8;0;0;-97;0;LTE;230;3;3;31014;433165;1692;13;112;2147483647;9223372036854775807;2147483647;2147483647;-88;-10;2147483647;2147483647;2;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.79226732;18.4401967;321.089;5.41;13.7;800;6400;2147483647;;0;0
17;20240202134341;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;0;0;8;0;0;-93;0;LTE;230;3;3;31014;433165;1692;13;112;2147483647;9223372036854775807;2147483647;2147483647;-90;-12;2147483647;2147483647;4;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;5;1;3;49.79257658;18.4404707;320.544;9.29;44.8;800;6400;2147483647;;0;0
